Method: cd::RedBlackTree::treeInsert, Block ID: 2, Normal Time: 0.235, Slowdown Time: 0.352, Percentage Increase: 49.787234042553195%
Method: cd::RedBlackTree::treeInsert, Block ID: 3, Normal Time: 0.306, Slowdown Time: 0.518, Percentage Increase: 69.281045751634%
Method: cd::RedBlackTree::treeInsert, Block ID: 4, Normal Time: 0.353, Slowdown Time: 0.533, Percentage Increase: 50.99150141643061%
Method: cd::RedBlackTree::treeInsert, Block ID: 6, Normal Time: 0.748, Slowdown Time: 1.178, Percentage Increase: 57.48663101604278%
Method: cd::RedBlackTree::treeInsert, Block ID: 7, Normal Time: 0.059, Slowdown Time: 0.003, Percentage Increase: -94.91525423728812%
Method: cd::RedBlackTree::treeInsert, Block ID: 9, Normal Time: 0.008, Slowdown Time: 0.013, Percentage Increase: 62.499999999999986%
Method: cd::RedBlackTree::treeInsert, Block ID: 10, Normal Time: 0.087, Slowdown Time: 0.085, Percentage Increase: -2.2988505747126298%
Method: cd::RedBlackTree::treeInsert, Block ID: 11, Normal Time: 0.035, Slowdown Time: 0.07, Percentage Increase: 100.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 12, Normal Time: 0.015, Slowdown Time: 0.019, Percentage Increase: 26.666666666666668%
Method: cd::RedBlackTree::treeInsert, Block ID: 13, Normal Time: 0.013, Slowdown Time: 0.046, Percentage Increase: 253.84615384615387%
Method: cd::RedBlackTree::treeInsert, Block ID: 14, Normal Time: 0.067, Slowdown Time: 0.073, Percentage Increase: 8.955223880597002%
Method: cd::RedBlackTree::treeInsert, Block ID: 15, Normal Time: 0.002, Slowdown Time: 0.034, Percentage Increase: 1600.0%
Method: cd::RedBlackTree::treeInsert, Block ID: 17, Normal Time: 0.406, Slowdown Time: 0.664, Percentage Increase: 63.54679802955665%
Method: cd::RedBlackTree::treeInsert, Block ID: 21, Normal Time: 0.125, Slowdown Time: 0.17, Percentage Increase: 36.00000000000001%
Method: cd::RedBlackTree::treeInsert, Block ID: 22, Normal Time: 0.005, Slowdown Time: 0.071, Percentage Increase: 1319.9999999999998%
Method: cd::RedBlackTree::treeInsert, Block ID: 23, Normal Time: 0.183, Slowdown Time: 0.195, Percentage Increase: 6.557377049180333%
Method: cd::RedBlackTree::treeInsert, Block ID: 27, Normal Time: 0.086, Slowdown Time: 0.117, Percentage Increase: 36.046511627906995%
Method: cd::RedBlackTree::treeInsert, Block ID: 28, Normal Time: 0.215, Slowdown Time: 0.375, Percentage Increase: 74.4186046511628%
Method: cd::RedBlackTree::treeInsert, Block ID: 29, Normal Time: 0.05, Slowdown Time: 0.098, Percentage Increase: 96.0%
