#!/home/hb478/.local/bin/rebench CollectRunTimes.conf
# Execution Start: 2025-03-17T22:49:27.740563+00:00
# Environment: {"userName": "hb478", "manualRun": true, "hostName": "LIN-HB478-1", "osType": "Linux", "memory": 16264884224, "denoise": {}, "cpu": "Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz", "clockSpeed": 3300000000, "software": [{"name": "kernel", "version": "#1 SMP PREEMPT_DYNAMIC Tue Nov 26 17:24:29 UTC 2024"}, {"name": "kernel-release", "version": "5.14.0-503.15.1.el9_5.x86_64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": "https://github.com/HumphreyHCB/GTResearchExperiments.git", "branchOrTag": "main", "commitId": "c5172f1ec769c9df723c5a3be76ff4bea219ddae", "commitMsg": "Extreamly useful Scripts and readers for all the RawData\n", "authorName": "Humphrey Burchell", "committerName": "Humphrey Burchell", "authorEmail": "humphreyburchell@gmail.com", "committerEmail": "humphreyburchell@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	325.071000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	2	236.813000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	3	238.976000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	4	253.863000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	5	234.429000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	6	236.607000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	7	233.201000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	8	233.664000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	9	232.810000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	10	232.979000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	11	232.937000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	12	444.876000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	13	232.900000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	14	232.763000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	15	232.811000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	16	232.902000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	17	232.781000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	18	232.667000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	19	233.005000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	20	233.007000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	21	233.178000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	22	232.800000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	23	232.560000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	24	232.319000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	25	232.679000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	26	239.742000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	27	233.018000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	28	232.469000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	29	232.398000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	30	239.156000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	31	232.505000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	32	232.696000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	33	232.399000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	34	232.927000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	35	232.366000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	36	232.472000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	37	232.975000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	38	232.380000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	39	232.440000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	40	232.497000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	41	233.051000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	42	232.727000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	43	232.405000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	44	232.881000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	45	232.489000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	46	232.356000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	47	232.391000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	48	232.776000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	49	232.503000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	50	232.178000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	51	232.275000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	52	232.638000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	53	232.304000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	54	232.004000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	55	232.540000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	56	232.482000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	57	232.561000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	58	232.660000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	59	233.041000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	60	232.619000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	61	232.422000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	62	232.804000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	63	232.594000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	64	232.773000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	65	232.286000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	66	233.169000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	67	232.730000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	68	232.521000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	69	232.614000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	70	232.611000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	71	232.337000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	72	231.880000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	73	232.300000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	74	231.751000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	75	231.820000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	76	231.792000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	77	232.271000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	78	231.960000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	79	231.843000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	80	232.235000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	81	232.185000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	82	232.009000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	83	231.969000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	84	232.548000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	85	232.545000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	86	232.380000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	87	232.479000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	88	232.915000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	89	232.668000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	90	232.496000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	91	232.730000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	92	232.624000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	93	232.448000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	94	232.739000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	95	233.077000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	96	232.555000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
1	97	232.549000	ms	total	Storage	Runner	Slowdown-50	1800	1		3	
