#!/home/hb478/.local/bin/rebench CollectRunTimesJson.conf
# Execution Start: 2025-03-23T14:16:33.348695+00:00
# Environment: {"userName": "hb478", "manualRun": true, "hostName": "LIN-HB478-1", "osType": "Linux", "memory": 16264888320, "denoise": {}, "cpu": "Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz", "clockSpeed": 3300000000, "software": [{"name": "kernel", "version": "#1 SMP PREEMPT_DYNAMIC Tue Nov 26 17:24:29 UTC 2024"}, {"name": "kernel-release", "version": "5.14.0-503.15.1.el9_5.x86_64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": "https://github.com/HumphreyHCB/GTResearchExperiments.git", "branchOrTag": "main", "commitId": "c5172f1ec769c9df723c5a3be76ff4bea219ddae", "commitMsg": "Extreamly useful Scripts and readers for all the RawData\n", "authorName": "Humphrey Burchell", "committerName": "Humphrey Burchell", "authorEmail": "humphreyburchell@gmail.com", "committerEmail": "humphreyburchell@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	659.972000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	2	181.309000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	3	214.429000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	4	176.350000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	5	176.189000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	6	177.983000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	7	176.749000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	8	177.926000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	9	176.499000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	10	176.602000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	11	176.373000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	12	191.772000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	13	177.248000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	14	176.525000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	15	175.738000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	16	175.674000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	17	175.890000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	18	175.892000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	19	176.330000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	20	175.795000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	21	175.727000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	22	175.820000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	23	246.539000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	24	175.933000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	25	176.026000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	26	175.761000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	27	175.635000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	28	175.777000	ms	total	Json	Runner	Slowdown-150	100	1		4	
1	29	175.408000	ms	total	Json	Runner	Slowdown-150	100	1		4	
