#!/home/hb478/.local/bin/rebench TestYourKitSelectiveBlockSlowdown.conf
# Execution Start: 2025-03-01T08:16:45.263645+00:00
# Environment: {"userName": "hb478", "manualRun": true, "hostName": "LIN-HB478-1", "osType": "Linux", "memory": 16264867840, "denoise": {}, "cpu": "Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz", "clockSpeed": 3300000000, "software": [{"name": "kernel", "version": "#1 SMP PREEMPT_DYNAMIC Tue Nov 26 17:24:29 UTC 2024"}, {"name": "kernel-release", "version": "5.14.0-503.15.1.el9_5.x86_64"}, {"name": "architecture", "version": "x86_64"}]}
# Source: {"repoURL": "https://github.com/HumphreyHCB/GTResearchExperiments.git", "branchOrTag": "main", "commitId": "c5172f1ec769c9df723c5a3be76ff4bea219ddae", "commitMsg": "Extreamly useful Scripts and readers for all the RawData\n", "authorName": "Humphrey Burchell", "committerName": "Humphrey Burchell", "authorEmail": "humphreyburchell@gmail.com", "committerEmail": "humphreyburchell@gmail.com"}
invocation	iteration	value	unit	criterion	benchmark	executor	suite	extraArgs	cores	inputSize	varValue	machine
1	1	297.622000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	2	196.461000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	3	218.443000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	4	195.962000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	5	196.740000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	6	195.068000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	7	202.667000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	8	194.446000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	9	195.147000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	10	195.526000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	11	195.172000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	12	194.638000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	13	194.599000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	14	195.516000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	15	196.005000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	16	195.578000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	17	195.603000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	18	195.602000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	19	195.652000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	20	195.483000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	21	195.162000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	22	195.047000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	23	195.497000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	24	195.373000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	25	195.738000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	26	195.594000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	27	198.861000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	28	193.366000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	29	193.237000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	30	194.978000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	31	195.166000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	32	195.052000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	33	194.614000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	34	194.562000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	35	194.642000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	36	194.619000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	37	194.558000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	38	194.905000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	39	194.737000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	40	195.416000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	41	193.877000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	42	193.833000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	43	193.893000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	44	194.176000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	45	194.770000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	46	195.095000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	47	197.344000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	48	194.144000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	49	194.108000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	50	194.433000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	51	194.623000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	52	194.462000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	53	194.463000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	54	194.247000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	55	194.579000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	56	194.015000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	57	194.134000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	58	194.277000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	59	194.486000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	60	194.368000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	61	194.751000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	62	194.724000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	63	194.710000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	64	194.956000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	65	194.557000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	66	195.235000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	67	198.389000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	68	195.973000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	69	195.631000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	70	195.011000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	71	196.189000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	72	195.538000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	73	196.163000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	74	195.212000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	75	195.238000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	76	195.154000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	77	195.086000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	78	195.253000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	79	195.251000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	80	194.998000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	81	194.540000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	82	193.823000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	83	193.830000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	84	193.940000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	85	194.166000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	86	194.139000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	87	197.158000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	88	195.175000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	89	195.665000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	90	195.475000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	91	196.147000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	92	195.492000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	93	195.616000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	94	196.873000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	95	195.409000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	96	195.567000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	97	195.425000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	98	195.489000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	99	196.474000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	100	195.376000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	101	195.233000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	102	194.878000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	103	194.851000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	104	194.650000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	105	194.630000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	106	194.637000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	107	197.335000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	108	194.892000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	109	194.739000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	110	194.629000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	111	194.622000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	112	195.108000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	113	194.526000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	114	195.057000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	115	194.886000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
1	116	194.806000	ms	total	List	Runner	YourKitSlowdown-1	10000	1		10	
