FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Percent1,Method2,Percent2,Method3,Percent3,Method4,Percent4,Method5,Percent5,Method6,Percent6,Method7,Percent7,Method8,Percent8,Method9,Percent9,Method10,Percent10,Method11,Percent11,Method12,Percent12,Method13,Percent13,Method14,Percent14,Method15,Percent15,Method16,Percent16,Method17,Percent17,Method18,Percent18,Method19,Percent19,Method20,Percent20
100_10_Bounce_NoSlowdown.xml,100,10,Bounce,NoSlowdown,"Bounce$Ball.bounce",63.1,"Bounce.benchmark",25.7,"java.lang.Math.abs",4.1,"Bounce$Ball.<init>",3.6,"java.util.Arrays.setAll",1.4,"Bounce.lambda$benchmark$0",1.4,"som.Random.next",0.6,"Run.printResult",0.0,"java.lang.ClassLoader.loadClass",0.0,"Bounce.verifyResult",0.0,"Run.reportBenchmark",0.0,"java.io.PrintStream.println",0.0,"som.Random.<init>",0.0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
100_10_Bounce_Slowdown.xml,100,10,Bounce,Slowdown,"Bounce$Ball.bounce",57.5,"Bounce.benchmark",34.9,"Bounce.lambda$benchmark$0",3.0,"java.lang.Math.abs",2.5,"Bounce$Ball.<init>",1.2,"java.util.Arrays.setAll",0.6,"som.Random.next",0.3,"Bounce.verifyResult",0.0,"Benchmark.innerBenchmarkLoop",0.0,"Run.printResult",0.0,"Run.measure",0.0,"Run.runBenchmark",0.0,"java.io.PrintStream.println",0.0,"java.lang.ClassLoader.loadClass",0.0,"",0,"",0,"",0,"",0,"",0,"",0
100_10_CD_NoSlowdown.xml,100,10,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",16.9,"cd.CollisionDetector.isInVoxel",12.8,"cd.RedBlackTree.put",10.7,"cd.CallSign.compareTo",8.1,"cd.RedBlackTree.findNode",6.5,"cd.Vector2D.compareTo",4.1,"cd.CallSign.compareTo",2.9,"cd.Vector2D.compareTo",2.9,"cd.Vector2D.compareNumbers",2.9,"cd.RedBlackTree.leftRotate",2.6,"cd.RedBlackTree.forEach",2.5,"cd.CollisionDetector.recurse",2.4,"cd.RedBlackTree.treeMinimum",2.4,"som.Vector.append",2.3,"cd.CollisionDetector.handleNewFrame",2.2,"cd.RedBlackTree$Node.successor",2.1,"som.Vector.<init>",1.7,"cd.CollisionDetector.voxelHash",1.5,"cd.Vector2D.minus",1.2,"cd.Vector2D.<init>",1.1
100_10_CD_Slowdown.xml,100,10,CD,Slowdown,"cd.RedBlackTree.treeInsert",18.3,"cd.CollisionDetector.isInVoxel",14.2,"cd.RedBlackTree.put",12.0,"cd.RedBlackTree.findNode",9.0,"cd.CallSign.compareTo",6.8,"cd.CallSign.compareTo",3.1,"cd.Vector2D.compareTo",2.9,"cd.RedBlackTree$Node.successor",2.5,"cd.CollisionDetector.recurse",2.3,"cd.Vector2D.compareNumbers",2.3,"cd.RedBlackTree.leftRotate",2.1,"cd.Vector2D.compareTo",1.9,"cd.CollisionDetector.voxelHash",1.9,"cd.RedBlackTree.treeMinimum",1.9,"cd.CollisionDetector.handleNewFrame",1.9,"cd.RedBlackTree.forEach",1.9,"som.Vector.<init>",1.8,"som.Vector.append",1.8,"cd.Vector2D.plus",1.3,"cd.Vector2D.minus",1.3
100_10_DeltaBlue_NoSlowdown.xml,100,10,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",51.3,"deltablue.Plan.execute",12.4,"som.Vector.forEach",7.1,"deltablue.EqualityConstraint.execute",6.3,"deltablue.ScaleConstraint.execute",4.2,"deltablue.Planner.addPropagate",2.1,"som.Vector.append",1.4,"deltablue.AbstractConstraint.satisfy",1.3,"deltablue.ScaleConstraint.recalculate",1.3,"java.util.Vector.add",1.3,"som.Vector.lambda$remove$0",1.0,"deltablue.Planner.makePlan",0.9,"som.Vector.<init>",0.6,"deltablue.Planner.addConstraintsConsumingTo",0.6,"deltablue.Planner.removePropagateFrom",0.6,"deltablue.BinaryConstraint.isSatisfied",0.6,"deltablue.Planner.projectionTest",0.6,"deltablue.BinaryConstraint.getOutput",0.5,"deltablue.AbstractConstraint.inputsKnown",0.5,"deltablue.Variable.setWalkStrength",0.4
100_10_DeltaBlue_Slowdown.xml,100,10,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",57.3,"deltablue.Plan.execute",11.3,"deltablue.EqualityConstraint.execute",8.7,"som.Vector.forEach",5.8,"deltablue.ScaleConstraint.execute",2.8,"deltablue.Planner.addPropagate",1.4,"java.util.Vector.add",1.1,"som.Vector.append",0.9,"deltablue.AbstractConstraint.satisfy",0.8,"som.Vector.lambda$remove$0",0.7,"deltablue.Planner.makePlan",0.7,"deltablue.ScaleConstraint.recalculate",0.7,"deltablue.AbstractConstraint.inputsKnown",0.6,"deltablue.Variable.getValue",0.6,"som.Vector.<init>",0.5,"deltablue.Planner.removePropagateFrom",0.5,"deltablue.Planner.projectionTest",0.4,"deltablue.BinaryConstraint.getOutput",0.4,"som.Vector.removeFirst",0.4,"deltablue.BinaryConstraint.isSatisfied",0.4
100_10_Havlak_NoSlowdown.xml,100,10,Havlak,NoSlowdown,"som.Vector.hasSome",35.9,"som.Vector.<init>",16.1,"som.Vector.append",6.4,"havlak.HavlakLoopFinder.findLoops",5.7,"som.Vector.forEach",4.3,"havlak.UnionFindNode.initNode",3.1,"som.Vector.at",2.5,"havlak.HavlakLoopFinder.doDFS",2.1,"havlak.HavlakLoopFinder$5.apply",1.8,"som.Dictionary.at",1.8,"havlak.HavlakLoopFinder.stepD",1.3,"havlak.HavlakLoopFinder$2.apply",1.2,"havlak.UnionFindNode.findSet",1.0,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.0,"som.Vector.size",1.0,"havlak.HavlakLoopFinder.identifyEdges",0.9,"som.Dictionary.transferEntries",0.9,"som.Set.<init>",0.9,"havlak.HavlakLoopFinder.stepEProcessNonBackPreds",0.8,"java.lang.Integer.valueOf",0.8
100_10_Havlak_Slowdown.xml,100,10,Havlak,Slowdown,"som.Vector.hasSome",30.1,"som.Vector.<init>",23.2,"som.Vector.append",11.8,"havlak.HavlakLoopFinder.findLoops",7.4,"som.Vector.at",3.7,"som.Vector.forEach",3.0,"havlak.HavlakLoopFinder.doDFS",2.2,"havlak.HavlakLoopFinder$5.apply",1.7,"havlak.UnionFindNode.initNode",1.4,"havlak.UnionFindNode.findSet",1.3,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.1,"havlak.UnionFindNode.getBb",0.9,"havlak.HavlakLoopFinder$1.apply",0.8,"som.Dictionary.at",0.7,"som.Vector.size",0.6,"som.Set.<init>",0.5,"havlak.HavlakLoopFinder$2.apply",0.5,"havlak.HavlakLoopFinder.stepEProcessNonBackPreds",0.5,"havlak.HavlakLoopFinder.identifyEdges",0.5,"som.Dictionary.atPut",0.5
100_10_Json_NoSlowdown.xml,100,10,Json,NoSlowdown,"java.lang.String.equals",35.3,"java.lang.Character.toString",21.0,"json.JsonPureStringParser.read",8.1,"java.lang.StringBuilder.toString",4.0,"java.lang.StringBuilder.append",3.3,"json.JsonPureStringParser.readStringInternal",3.1,"java.lang.String.charAt",2.7,"json.JsonPureStringParser.subStringFromTo",2.4,"som.Vector.append",2.2,"java.lang.String.hashCode",2.0,"som.Vector.<init>",1.9,"json.JsonPureStringParser.readDigit",1.7,"json.JsonPureStringParser.readValue",1.6,"java.lang.StringBuilder.<init>",1.5,"json.JsonPureStringParser.isWhiteSpace",1.5,"json.JsonPureStringParser.skipWhiteSpace",1.4,"json.JsonPureStringParser.readArray",1.2,"json.JsonPureStringParser.endCapture",1.0,"json.JsonPureStringParser.isDigit",0.6,"json.JsonPureStringParser.readChar",0.6
100_10_Json_Slowdown.xml,100,10,Json,Slowdown,"java.lang.String.equals",35.8,"java.lang.Character.toString",19.0,"json.JsonPureStringParser.read",7.4,"java.lang.String.charAt",3.7,"json.JsonPureStringParser.subStringFromTo",3.5,"java.lang.StringBuilder.append",3.2,"java.lang.StringBuilder.toString",2.9,"json.JsonPureStringParser.readStringInternal",2.3,"json.JsonPureStringParser.isWhiteSpace",2.0,"som.Vector.append",2.0,"som.Vector.<init>",1.8,"java.lang.String.hashCode",1.8,"json.JsonPureStringParser.readArray",1.7,"java.lang.StringBuilder.<init>",1.6,"json.JsonPureStringParser.readValue",1.5,"java.lang.String.length",1.3,"json.JsonPureStringParser.isDigit",1.3,"json.JsonPureStringParser.skipWhiteSpace",1.3,"json.JsonPureStringParser.readDigit",1.1,"json.JsonPureStringParser.readChar",0.9
