FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5
100_10_Bounce_NoSlowdown.xml,100,10,Bounce,NoSlowdown,"Bounce$Ball.bounce",63.1,"Bounce.benchmark",25.7,"java.lang.Math.abs",4.1,"Bounce$Ball.<init>",3.6,"java.util.Arrays.setAll",1.4
100_10_Bounce_Slowdown.xml,100,10,Bounce,Slowdown,"Bounce$Ball.bounce",57.5,"Bounce.benchmark",34.9,"Bounce.lambda$benchmark$0",3.0,"java.lang.Math.abs",2.5,"Bounce$Ball.<init>",1.2
100_10_CD_NoSlowdown.xml,100,10,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",16.9,"cd.CollisionDetector.isInVoxel",12.8,"cd.RedBlackTree.put",10.7,"cd.CallSign.compareTo",8.1,"cd.RedBlackTree.findNode",6.5
100_10_CD_Slowdown.xml,100,10,CD,Slowdown,"cd.RedBlackTree.treeInsert",18.3,"cd.CollisionDetector.isInVoxel",14.2,"cd.RedBlackTree.put",12.0,"cd.RedBlackTree.findNode",9.0,"cd.CallSign.compareTo",6.8
100_10_DeltaBlue_NoSlowdown.xml,100,10,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",51.3,"deltablue.Plan.execute",12.4,"som.Vector.forEach",7.1,"deltablue.EqualityConstraint.execute",6.3,"deltablue.ScaleConstraint.execute",4.2
100_10_DeltaBlue_Slowdown.xml,100,10,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",57.3,"deltablue.Plan.execute",11.3,"deltablue.EqualityConstraint.execute",8.7,"som.Vector.forEach",5.8,"deltablue.ScaleConstraint.execute",2.8
100_10_Havlak_NoSlowdown.xml,100,10,Havlak,NoSlowdown,"som.Vector.hasSome",35.9,"som.Vector.<init>",16.1,"som.Vector.append",6.4,"havlak.HavlakLoopFinder.findLoops",5.7,"som.Vector.forEach",4.3
100_10_Havlak_Slowdown.xml,100,10,Havlak,Slowdown,"som.Vector.hasSome",30.1,"som.Vector.<init>",23.2,"som.Vector.append",11.8,"havlak.HavlakLoopFinder.findLoops",7.4,"som.Vector.at",3.7
100_10_Json_NoSlowdown.xml,100,10,Json,NoSlowdown,"java.lang.String.equals",35.3,"java.lang.Character.toString",21.0,"json.JsonPureStringParser.read",8.1,"java.lang.StringBuilder.toString",4.0,"java.lang.StringBuilder.append",3.3
100_10_Json_Slowdown.xml,100,10,Json,Slowdown,"java.lang.String.equals",35.8,"java.lang.Character.toString",19.0,"json.JsonPureStringParser.read",7.4,"java.lang.String.charAt",3.7,"json.JsonPureStringParser.subStringFromTo",3.5
