FileName,SlowdownSpeed,Iteration,Benchmark,IsSlowdown,Method1,Count1,Method2,Count2,Method3,Count3,Method4,Count4,Method5,Count5,Method6,Count6,Method7,Count7,Method8,Count8,Method9,Count9,Method10,Count10,Method11,Count11,Method12,Count12,Method13,Count13,Method14,Count14,Method15,Count15,Method16,Count16,Method17,Count17,Method18,Count18,Method19,Count19,Method20,Count20
100_10_Bounce_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Bounce,NoSlowdown,"Bounce$Ball.bounce",65.81,"Bounce.benchmark",22.51,"java.lang.Math.abs",4.64,"Bounce$Ball.<init>",3.76,"java.util.Arrays.setAll",1.24,"som.Random.next",0.88,"Bounce.lambda$benchmark$0",0.85,"java.lang.management.MemoryUsage.<init>",0.08,"com.yourkit.probes.Table.createRow",0.04,"Bounce.verifyResult",0.04,"Benchmark.innerBenchmarkLoop",0.03,"javax.management.openmbean.SimpleType.equals",0.02,"Run.printResult",0.01,"java.io.BufferedOutputStream.flush",0.01,"com.yourkit.probes.IoCounter.update",0.01,"java.util.concurrent.atomic.AtomicLong.addAndGet",0.01,"java.lang.System.nanoTime",0.01,"java.util.TreeMap$KeySet.iterator",0.01,"jdk.internal.misc.Unsafe.weakCompareAndSetLong",0.01,"javax.management.openmbean.CompositeDataSupport.get",0.01
100_10_Bounce_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Bounce,Slowdown,"Bounce$Ball.bounce",58.14,"Bounce.benchmark",31.92,"java.lang.Math.abs",3.59,"Bounce$Ball.<init>",2.80,"som.Random.next",1.72,"java.util.Arrays.setAll",1.02,"Bounce.lambda$benchmark$0",0.76,"Benchmark.innerBenchmarkLoop",0.02,"com.yourkit.probes.Table.createRow",0.02,"java.lang.StringLatin1.charAt",0.01,"jdk.internal.org.objectweb.asm.Frame.getAbstractTypeFromDescriptor",0.01,"javax.management.openmbean.TabularDataSupport.internalCalculateIndex",0.00,"Method",0.00,"Harness.main",0.00,"Run.runBenchmark",0.00,"Run.doRuns",0.00,"Run.measure",0.00,"Bounce$$Lambda.apply",0.00,"Run.printResult",0.00,"com.yourkit.probes.builtin.Files.writeOnEnter",0.00
100_10_CD_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,CD,NoSlowdown,"cd.RedBlackTree.treeInsert",18.74,"cd.CollisionDetector.isInVoxel",11.76,"cd.RedBlackTree.put",10.05,"cd.Vector2D.compareTo",9.75,"cd.RedBlackTree.findNode",6.91,"cd.CallSign.compareTo",3.41,"cd.Vector2D.compareNumbers",3.31,"cd.CollisionDetector.recurse",3.17,"cd.CallSign.compareTo",2.92,"som.Vector.append",2.78,"cd.CollisionDetector.handleNewFrame",2.48,"cd.RedBlackTree.forEach",2.30,"cd.RedBlackTree.treeMinimum",2.26,"cd.RedBlackTree.leftRotate",2.19,"cd.RedBlackTree$Node.successor",2.13,"som.Vector.<init>",1.78,"cd.CollisionDetector.voxelHash",1.61,"cd.Vector2D.compareTo",1.44,"cd.Vector2D.minus",1.16,"cd.Vector2D.plus",1.01
100_10_CD_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,CD,Slowdown,"cd.RedBlackTree.treeInsert",19.81,"cd.CollisionDetector.isInVoxel",13.69,"cd.RedBlackTree.put",12.65,"cd.RedBlackTree.findNode",6.95,"cd.Vector2D.compareTo",6.09,"cd.Vector2D.compareNumbers",3.72,"cd.CallSign.compareTo",3.56,"cd.CollisionDetector.recurse",2.82,"som.Vector.append",2.58,"cd.RedBlackTree.leftRotate",2.43,"cd.CollisionDetector.handleNewFrame",2.24,"som.Vector.<init>",2.22,"cd.RedBlackTree.forEach",2.19,"cd.CollisionDetector.voxelHash",2.16,"cd.Vector2D.compareTo",2.05,"cd.CallSign.compareTo",1.88,"cd.RedBlackTree$Node.successor",1.68,"cd.Vector2D.plus",1.63,"cd.Vector2D.minus",1.35,"cd.RedBlackTree.treeMinimum",1.25
100_10_DeltaBlue_NoSlowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,DeltaBlue,NoSlowdown,"java.util.Vector$Itr.next",61.72,"deltablue.Plan.execute",6.32,"java.util.Vector.elementData",4.36,"som.Vector.forEach",2.92,"deltablue.Planner$$Lambda.apply",2.30,"deltablue.EqualityConstraint.execute",1.97,"java.util.Vector.add",1.35,"som.Vector.append",1.30,"deltablue.Planner.addPropagate",1.16,"deltablue.ScaleConstraint.execute",1.12,"java.util.Vector$Itr.checkForComodification",1.07,"deltablue.BinaryConstraint.getOutput",1.02,"deltablue.ScaleConstraint.recalculate",0.97,"deltablue.Planner$$Lambda.apply",0.90,"som.Vector.<init>",0.76,"deltablue.BinaryConstraint.isSatisfied",0.68,"som.Vector.lambda$remove$0",0.66,"deltablue.AbstractConstraint.satisfy",0.63,"deltablue.Planner.projectionTest",0.62,"jdk.internal.misc.Unsafe.allocateInstance",0.59
100_10_DeltaBlue_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,DeltaBlue,Slowdown,"java.util.Vector$Itr.next",60.34,"deltablue.Plan.execute",5.25,"java.util.Vector.elementData",3.85,"deltablue.ScaleConstraint.execute",3.12,"som.Vector.forEach",2.98,"deltablue.Planner$$Lambda.apply",1.95,"deltablue.EqualityConstraint.execute",1.85,"java.util.Vector.add",1.50,"deltablue.BinaryConstraint.getOutput",1.34,"som.Vector.append",1.31,"som.Vector.removeFirst",1.24,"deltablue.Planner.addPropagate",1.06,"java.util.Vector$Itr.checkForComodification",1.00,"deltablue.Planner.removePropagateFrom",0.95,"deltablue.ScaleConstraint.recalculate",0.84,"deltablue.Planner.makePlan",0.73,"deltablue.Planner$$Lambda.apply",0.72,"deltablue.AbstractConstraint.satisfy",0.70,"som.Vector.lambda$remove$0",0.62,"deltablue.Variable.setValue",0.59
100_10_Havlak_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Havlak,NoSlowdown,"som.Vector.hasSome",36.26,"som.Vector.<init>",15.56,"som.Vector.append",7.33,"havlak.HavlakLoopFinder.findLoops",5.45,"som.Vector.forEach",4.31,"havlak.UnionFindNode.initNode",3.54,"som.Vector.at",2.52,"havlak.HavlakLoopFinder.doDFS",2.22,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.81,"som.Dictionary.at",1.51,"havlak.HavlakLoopFinder$2.apply",1.22,"som.Vector.size",1.22,"havlak.UnionFindNode.findSet",1.12,"havlak.HavlakLoopFinder.stepD",1.09,"havlak.HavlakLoopFinder$2.apply",0.98,"som.Dictionary.atPut",0.95,"havlak.HavlakLoopFinder.identifyEdges",0.81,"som.Set.<init>",0.81,"havlak.LoopStructureGraph$1.apply",0.79,"java.lang.Integer.valueOf",0.68
100_10_Havlak_Slowdown-2025-02-08-shutdown_Method-list-CPU.txt,100,10,Havlak,Slowdown,"som.Vector.hasSome",37.44,"som.Vector.<init>",20.42,"som.Vector.forEach",6.17,"som.Vector.append",5.55,"havlak.HavlakLoopFinder.findLoops",4.44,"havlak.UnionFindNode.initNode",4.18,"havlak.HavlakLoopFinder.doDFS",2.25,"som.Vector.at",1.81,"havlak.HavlakLoopFinder.lambda$stepEProcessNonBackPreds$1",1.57,"havlak.UnionFindNode.findSet",1.25,"som.Dictionary.atPut",0.95,"havlak.HavlakLoopFinder$1.apply",0.83,"havlak.LoopStructureGraph$1.apply",0.83,"som.Vector.size",0.67,"java.lang.Integer.valueOf",0.67,"havlak.HavlakLoopFinder.identifyEdges",0.64,"som.Set.<init>",0.61,"som.Dictionary.at",0.55,"som.Dictionary.getBucketIdx",0.54,"som.IdentityDictionary.newEntry",0.50
100_10_Json_NoSlowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Json,NoSlowdown,"java.lang.String.equals",35.67,"java.lang.StringLatin1.toBytes",10.58,"java.lang.String.valueOf",8.67,"json.JsonPureStringParser.read",8.00,"json.JsonPureStringParser.readStringInternal",3.48,"json.JsonPureStringParser.subStringFromTo",2.94,"java.lang.AbstractStringBuilder.append",2.79,"som.Vector.<init>",2.54,"java.lang.String.isLatin1",2.28,"som.Vector.append",2.24,"json.JsonPureStringParser.readValue",2.22,"json.JsonPureStringParser.isWhiteSpace",2.11,"java.lang.StringBuilder.toString",1.76,"java.lang.AbstractStringBuilder.<init>",1.29,"java.lang.Object.clone",1.11,"json.JsonPureStringParser.readDigit",1.08,"json.JsonPureStringParser.readArray",1.03,"json.JsonPureStringParser.endCapture",0.90,"json.JsonPureStringParser.isDigit",0.77,"java.lang.AbstractStringBuilder.ensureCapacityInternal",0.74
100_10_Json_Slowdown-2025-02-09-shutdown_Method-list-CPU.txt,100,10,Json,Slowdown,"java.lang.String.equals",37.01,"java.lang.StringLatin1.toBytes",9.98,"json.JsonPureStringParser.read",8.70,"java.lang.String.valueOf",6.74,"json.JsonPureStringParser.subStringFromTo",3.74,"json.JsonPureStringParser.readStringInternal",3.15,"som.Vector.<init>",2.58,"java.lang.String.isLatin1",2.33,"json.JsonPureStringParser.isWhiteSpace",2.16,"java.lang.AbstractStringBuilder.<init>",2.05,"som.Vector.append",1.96,"java.lang.StringBuilder.toString",1.48,"java.lang.AbstractStringBuilder.append",1.44,"json.JsonPureStringParser.readValue",1.29,"json.JsonPureStringParser.endCapture",1.16,"java.lang.Object.clone",1.13,"java.lang.StringLatin1.charAt",1.11,"json.JsonPureStringParser.isDigit",1.10,"json.JsonPureStringParser.readArray",0.96,"json.JsonPureStringParser.skipWhiteSpace",0.94
